"id";"Nome";"RG";"CPF";"endereco_fk"
1;"João Miguel  Queirós Aparecido";"715120359";"00.930.834.9-84";69
2;"Maria Julia  Brasil  Barros";"687075338";"11.464.906.1-05";67
3;"Theo  Magalhães   Barros";"579802040";"66.279.889.1-42";28
4;"Marcela  Costa Calado";"519537378";"22.029.821.1-05";141
5;"Vanessa  Fontes  Rodrigues";"142555651";"57.444.588.8-55";79
6;"Heitor  Matos  Costa";"712480249";"15.249.618.4-57";145
7;"Guilherme  Rocha  Castro";"679672407";"45.864.190.9-27";18
8;"Valentina  Rocha  Guimarães ";"752957910";"57.655.890.1-13";141
9;"Thiago  Souza Aparecido";"865374510";"06.036.234.4-66";154
10;"Bernardo  Correia  Rocha";"474009765";"76.528.936.8-42";108
11;"Maria Alice  Cardoso Rodrigues";"253303294";"82.842.654.0-92";38
12;"Alice Mesquita Rodrigues";"075945765";"96.591.595.0-32";34
13;"Ana  Campos  Matos";"893537114";"47.520.520.6-43";20
14;"Viviane  Pedreira  Costa";"498245019";"99.159.578.1-65";55
15;"Maria Cecília  Braga  Brasil";"996177138";"04.001.107.5-75";171
16;"Heitor  Azevedo  Rocha";"848225309";"96.296.460.6-93";20
17;"Maria Alice dos Santos Mesquita";"701615300";"63.720.288.5-12";16
18;"Laura  Teixeira Rodrigues";"552169163";"56.291.552.2-39";42
19;"Eduardo Silva  Macedo";"557624059";"24.669.453.3-17";166
20;"Lucas Aparecido  Braga";"099666470";"06.839.101.4-71";192
21;"Gael Arake  Azevedo";"715915770";"52.976.780.7-17";31
22;"Theo Mesquita  Siqueira";"730465753";"98.132.082.3-51";122
23;"Heitor Calado  Pedreira";"245610236";"18.100.343.8-07";137
24;"Maria  Matos Almeida";"874346944";"73.384.419.8-02";51
25;"Tamires  Campos  Queirós";"555695180";"10.767.229.9-72";189
26;"Heitor  Rocha  Costa";"271747357";"20.894.331.9-09";163
27;"Alice Palmito Kubitcheck";"092322859";"19.881.429.7-90";65
28;"Gabriela Palmito  Barros";"366789579";"37.316.885.8-69";98
29;"Heloísa Kubitcheck Silva";"398271983";"24.011.999.6-09";94
30;"João Miguel Palmito Aparecido";"301716174";"19.315.122.2-70";90
31;"Maria Clara Oliveira  Castro";"926358942";"73.066.029.3-50";94
32;"Miguel  Magalhães  Palmito";"756652418";"89.276.754.8-82";28
33;"Tamires  Ribeiro  Brasil";"316412350";"97.925.119.7-02";24
34;"Gabriel Silva  Queirós";"978337649";"92.986.066.7-42";187
35;"Bernardo  Correia  Guimarães ";"318716258";"83.659.747.0-13";171
36;"Arthur  Brasil Rodrigues";"771161696";"93.722.235.0-64";86
37;"Eduardo  Costa  Serra";"249011136";"99.989.092.2-59";94
38;"Miguel Pinhais Silva";"009874003";"94.410.953.8-47";120
39;"Davi  Barros Rodrigues";"131209836";"74.231.972.6-77";27
40;"Arthur  Guimarães  Arake";"580873274";"12.647.496.8-67";84
41;"Maria Alice  Barros  Teixeira";"726845349";"68.564.828.3-64";163
42;"Gabriela  Fontes   Correia";"246829362";"54.636.103.7-77";56
43;"Maria Arake  Brasil";"240345264";"06.386.171.2-33";49
44;"Marcelo  Guimarães   Pedreira";"090700736";"58.850.129.7-40";124
45;"Luiza  Teixeira  Rocha";"636714338";"01.944.724.0-21";22
46;"Maria Alice Martins  Costa";"732714589";"79.677.952.2-39";124
47;"Ana  Matos Pinhais";"652737773";"44.699.723.2-72";51
48;"Luiza  Cardoso  Bahiense";"325430588";"73.472.853.8-79";32
49;"Raquel  Macedo  Macedo";"168152524";"88.344.950.7-48";96
50;"Maria Cecília  Siqueira Sequeira";"149953238";"84.245.173.0-74";92
51;"Tamires  Costa  Guimarães ";"860493572";"05.498.969.1-01";178
52;"Laura Arake  Brasil";"017095360";"61.525.313.5-35";153
53;"Heitor  Campos  Queirós";"582583533";"60.572.653.5-52";184
54;"Raquel  Campos Pinhais";"583554558";"46.645.248.9-54";173
55;"Theo  Queirós Mesquita";"045660561";"55.498.780.6-61";46
56;"Ronaldo  Siqueira  Macedo";"120617293";"95.301.698.4-78";72
57;"Maria Julia Silva Rodrigues";"152655559";"37.941.551.0-39";1
58;"Gael Pinhais Aparecido";"313257780";"91.776.372.7-29";109
59;"Marcelo  Barros Calado";"416965926";"54.770.482.0-88";196
60;"Thiago  Pedreira  Azevedo";"986974688";"89.067.633.0-65";189
61;"Miguel  Teixeira Mesquita";"420068810";"29.756.668.1-88";128
62;"João Miguel  Teixeira  Siqueira";"944234136";"95.350.311.9-30";130
63;"Ana  Campos  Serra";"907876248";"89.875.971.6-79";93
64;"Davi Aparecido Almeida";"780434110";"64.818.915.3-79";35
65;"Guilherme  Barros  Matos";"217630974";"32.642.525.8-76";43
66;"Gabriela  Cardoso Aparecido";"378891083";"97.225.142.0-24";34
67;"José  Macedo  Magalhães ";"486518047";"56.664.058.0-51";155
68;"Laura  Souza  Magalhães ";"844524620";"76.964.013.3-72";153
69;"Maria Julia  Souza Almeida";"277764752";"45.440.677.8-77";178
70;"Luiza Almeida  Fontes ";"293360721";"34.124.325.9-89";109
71;"Guilherme Pinhais  Siqueira";"695721119";"33.398.117.9-98";146
72;"Aline  Matos Arake";"688384104";"54.735.754.2-98";101
73;"Marcela Mesquita Aparecido";"619693497";"28.391.184.6-20";176
74;"Sophia  Braga  Magalhães ";"362964768";"49.677.903.9-86";60
75;"Viviane  Braga  Correia";"067483578";"41.962.396.1-73";7
76;"José  Rocha Calado";"228326755";"38.755.694.0-05";178
77;"Lucas  Campos  Castro";"432966247";"33.990.839.2-61";123
78;"Maria Julia  Matos  Campos";"775022684";"21.463.795.3-95";128
79;"Gael  Serra  Correia";"831961939";"21.499.764.2-98";123
80;"Valentina Sequeira Calado";"739325537";"01.483.172.7-41";168
81;"Vanessa  Barros Rodrigues";"724995287";"24.511.186.9-92";15
82;"Gabriela  Souza Aparecido";"207061693";"96.429.690.2-10";183
83;"Thiago Calado  Cardoso";"931934564";"95.707.351.7-56";197
84;"Maria Cecília  Campos  Matos";"492915305";"15.236.620.7-80";65
85;"Valentina Mesquita  Rocha";"774011233";"51.208.177.2-39";39
86;"Maria Cecília  Fontes   Cardoso";"201407245";"46.423.648.4-45";101
87;"Miguel  Macedo  Fontes ";"900833316";"59.789.523.0-99";167
88;"Laura Calado Pinhais";"487888164";"81.724.774.4-07";153
89;"Vanessa Rodrigues  Braga";"313078855";"27.227.366.0-42";29
90;"Heitor  Bahiense  Braga";"927419489";"54.804.026.9-70";74
91;"Ronaldo Oliveira Kubitcheck";"105001337";"25.440.413.8-25";7
92;"Heloísa  Souza  Correia";"302287050";"08.438.869.6-87";167
93;"Gabriela Kubitcheck  Matos";"488512236";"09.792.446.6-58";60
94;"Eduardo  Costa Almeida";"887418165";"48.846.066.1-79";136
95;"Ana Almeida  Fontes ";"414897572";"54.575.052.5-66";48
96;"José Aparecido  Pedreira";"614757493";"24.800.730.5-37";69
97;"Maria Cecília Oliveira  Siqueira";"992550035";"52.596.753.7-90";37
98;"Maria Alice  Bahiense Calado";"497466678";"73.035.641.4-48";46
99;"Ana Kubitcheck  Siqueira";"143796334";"19.617.854.1-87";68
100;"Aline Pinhais  Macedo";"790948345";"31.747.001.4-94";71
101;"Guilherme Calado  Cardoso";"991239693";"72.443.536.2-07";192
102;"Raquel Silva Silva";"276928998";"92.137.038.3-80";42
103;"Heloísa  Rocha  Rocha";"843913475";"27.981.691.5-34";73
104;"Alice  Macedo  Cardoso";"125128502";"42.424.697.9-70";96
105;"Raquel  Souza  Cardoso";"792418384";"17.304.634.7-55";166
106;"Gabriel  Braga Silva";"695191486";"94.509.077.1-15";173
107;"Maria  Pedreira Silva";"371736572";"45.398.603.6-03";199
108;"Karla  Teixeira Calado";"172473365";"17.528.311.5-77";182
109;"Maria  Fontes   Queirós";"071104791";"25.804.636.9-16";23
110;"José  Campos  Ribeiro";"833401873";"95.583.353.3-17";89
111;"Raquel  Ribeiro  Braga";"060505777";"67.852.404.0-52";113
112;"Laura Aparecido  Azevedo";"279755164";"20.510.598.2-07";147
113;"Marcela Palmito  Macedo";"282673245";"23.951.930.1-68";111
114;"Laura Calado Mesquita";"676466387";"03.708.865.4-21";85
115;"Laura  Fontes  Oliveira";"187202654";"00.119.353.6-38";97
116;"Karla  Serra  Ribeiro";"986177247";"16.929.677.2-11";48
117;"Lucas Silva  Castro";"761600932";"11.608.695.8-96";123
118;"Maria Alice Calado  Braga";"339162456";"60.538.044.9-16";101
119;"Maria Alice Pinhais  Castro";"038973098";"44.382.007.0-85";88
120;"Maria Alice  Cardoso Almeida";"952183483";"12.264.194.4-26";14
121;"Marcelo  Braga Silva";"914454547";"68.438.033.7-42";78
122;"Samuel Silva  Costa";"408222379";"95.492.072.4-29";71
123;"Valentina Aparecido  Azevedo";"764448562";"63.048.041.8-09";133
124;"Tamires  Braga  Correia";"633673501";"39.085.862.9-78";160
125;"Guilherme  Souza  Braga";"582832622";"85.698.511.9-07";65
126;"Laura Silva  Costa";"633370112";"54.734.337.4-81";134
127;"Guilherme  Fontes   Brasil";"119880764";"87.389.980.8-73";162
128;"Helena Almeida Arake";"708935130";"70.313.996.3-20";197
129;"Miguel  Campos  Matos";"262661377";"15.527.393.0-35";172
130;"Sophia dos Santos  Barros";"187797485";"32.696.916.7-67";63
131;"Heitor  Azevedo Rodrigues";"732283733";"65.322.582.6-47";139
132;"Sophia  Fontes  Aparecido";"725643876";"35.948.701.1-55";177
133;"Davi  Costa  Macedo";"213584027";"38.402.947.5-13";73
134;"Maria Aparecido Kubitcheck";"952345729";"06.387.441.5-88";58
135;"Lucas  Matos  Fontes ";"120473461";"92.499.679.8-85";49
136;"Theo  Campos  Magalhães ";"245336662";"50.966.484.2-30";80
137;"Maria Clara  Brasil  Cardoso";"296503360";"81.170.011.4-93";2
138;"Gabriel Martins Martins";"900688159";"22.481.805.9-09";178
139;"Ronaldo  Teixeira Mesquita";"004365793";"68.013.807.0-73";180
140;"Tamires  Guimarães   Correia";"470998935";"71.369.897.8-09";170
141;"Maria Clara  Magalhães   Castro";"386116771";"68.596.054.7-36";98
142;"Thiago  Cardoso Mesquita";"585959544";"22.957.898.3-02";87
143;"Maria Cecília  Azevedo Pinhais";"341297855";"32.505.494.5-84";114
144;"Ronaldo  Magalhães  Rodrigues";"014344472";"26.654.479.8-08";114
145;"Theo dos Santos  Campos";"927277598";"94.138.434.2-84";169
146;"Gael  Costa  Bahiense";"786680797";"75.579.152.8-70";71
147;"Eduardo  Fontes  Calado";"643831880";"91.831.935.2-10";190
148;"Ronaldo  Souza Pinhais";"521310352";"77.570.727.5-82";108
149;"Ronaldo  Matos  Fontes ";"404875923";"65.499.218.6-41";173
150;"Vanessa  Fontes   Cardoso";"821089107";"28.196.700.5-89";17
151;"Valentina Aparecido  Brasil";"510076479";"01.175.253.8-40";189
152;"Miguel  Matos  Brasil";"090971990";"78.422.010.8-66";134
153;"Heloísa  Fontes   Correia";"704835181";"06.564.226.7-13";183
154;"Eduardo Calado Pinhais";"421624848";"78.590.852.8-10";156
155;"Vanessa  Queirós  Guimarães ";"968866375";"16.255.580.6-97";53
156;"Heitor  Barros  Queirós";"708269777";"07.852.048.3-14";164
157;"Karla Kubitcheck Calado";"596623854";"40.423.852.7-04";160
158;"Heloísa  Souza  Bahiense";"478818732";"37.964.619.9-66";30
159;"Lucas Almeida  Fontes ";"594352845";"44.655.043.2-14";164
160;"Gabriela  Cardoso  Teixeira";"214262662";"92.504.537.0-61";97
161;"Valentina Kubitcheck Rodrigues";"181846822";"58.442.062.1-30";147
162;"Vanessa  Siqueira Pinhais";"911051027";"87.688.735.2-21";165
163;"Ronaldo  Rocha  Azevedo";"496631920";"37.495.015.1-98";49
164;"Marcelo  Brasil Palmito";"251960452";"29.961.767.5-93";32
165;"José Aparecido  Costa";"086296328";"69.758.203.6-28";49
166;"Tamires  Magalhães  Mesquita";"854655352";"33.908.626.1-44";6
167;"Gael  Cardoso  Bahiense";"973134038";"32.023.089.8-01";105
168;"Marcela Mesquita  Costa";"927466881";"48.523.772.5-16";12
169;"Aline  Guimarães   Pedreira";"256789423";"13.353.150.2-04";184
170;"Theo Mesquita  Bahiense";"408625383";"25.281.063.7-74";46
171;"Sophia  Matos Palmito";"022880227";"09.710.463.9-04";143
172;"Gabriela Silva  Bahiense";"095419053";"82.312.386.0-26";121
173;"Karla Aparecido Mesquita";"540451305";"55.556.979.0-38";109
174;"Aline Arake dos Santos";"988566350";"86.156.029.6-02";52
175;"Davi Kubitcheck Almeida";"326144983";"22.397.873.1-11";80
176;"Maria Alice Aparecido  Queirós";"460148816";"17.376.854.7-34";123
177;"João Miguel Rodrigues  Bahiense";"610964319";"79.170.535.0-04";129
178;"Viviane Calado Calado";"121411392";"92.096.097.4-74";24
179;"Valentina  Ribeiro Aparecido";"532795477";"08.758.059.7-73";156
180;"Valentina Calado  Matos";"757060891";"37.224.387.6-36";197
181;"Maria Alice  Queirós  Guimarães ";"782764620";"98.330.165.2-01";92
182;"Sophia  Bahiense  Serra";"306809851";"20.841.367.3-54";53
183;"Ana Palmito  Pedreira";"831957466";"78.971.426.9-00";50
184;"Sophia  Barros  Guimarães ";"779886918";"94.446.737.2-06";138
185;"Viviane  Teixeira  Magalhães ";"210066220";"59.000.195.4-43";99
186;"Viviane dos Santos  Matos";"988361175";"72.737.756.6-94";164
187;"Heitor Silva  Queirós";"180288887";"44.888.641.9-22";52
188;"Maria Cecília Silva  Ribeiro";"635571828";"47.781.295.9-59";49
189;"Theo  Brasil Pinhais";"687395726";"01.297.941.7-15";111
190;"Gabriela  Guimarães   Rocha";"899705651";"25.526.499.2-02";81
191;"Ronaldo  Souza  Brasil";"311790121";"11.005.520.9-15";163
192;"José  Siqueira  Magalhães ";"066365053";"84.965.491.6-91";55
193;"Davi  Brasil  Cardoso";"555260793";"09.748.770.4-52";14
194;"Viviane Pinhais Palmito";"038959808";"36.727.155.8-23";86
195;"Laura  Rocha  Brasil";"225707030";"19.423.826.5-43";140
196;"Heitor Sequeira  Castro";"452066590";"34.925.923.6-52";71
197;"Heitor Almeida Calado";"945035669";"25.269.484.6-62";162
198;"Helena  Brasil  Rocha";"257277454";"98.864.274.8-62";141
199;"Maria  Magalhães   Braga";"745204372";"40.427.804.8-09";53
200;"Marcelo  Magalhães  Rodrigues";"844389562";"86.878.753.2-82";183
201;"Guilherme  Costa  Barros";"340038871";"20.239.483.1-84";155
202;"Gabriela Pinhais  Serra";"135497958";"61.252.074.7-98";74
203;"Karla Mesquita  Matos";"474068530";"65.833.904.5-68";55
204;"Theo Silva  Braga";"226604764";"47.379.535.5-77";194
205;"Bernardo Silva  Siqueira";"646724431";"18.435.559.7-06";5
206;"Ana  Fontes   Souza";"994752908";"94.475.055.2-07";172
207;"Samuel  Barros  Bahiense";"985610653";"16.777.742.6-28";75
208;"Viviane Oliveira  Azevedo";"018480474";"17.502.058.5-30";73
209;"Bernardo  Macedo  Bahiense";"345144806";"35.091.242.0-54";91
210;"Viviane Oliveira  Queirós";"384129487";"59.067.597.5-29";149
211;"Gabriela  Braga  Serra";"553662785";"55.284.301.2-54";199
212;"Laura  Matos  Brasil";"712977612";"21.399.255.5-42";21
213;"Maria Julia Oliveira  Fontes ";"147598861";"34.500.939.4-32";45
214;"Guilherme  Pedreira Calado";"392335310";"20.361.678.9-07";106
215;"Maria Clara Aparecido Calado";"981280430";"60.691.540.0-45";44
216;"Arthur Martins  Barros";"790222481";"44.267.718.5-42";48
217;"Heitor Oliveira Rodrigues";"512344903";"90.927.900.1-82";148
218;"Lucas  Correia Mesquita";"761567543";"43.979.396.3-13";1
219;"Luiza Pinhais Aparecido";"388700241";"23.264.599.9-11";180
220;"Luiza Calado Arake";"686285424";"72.002.501.0-50";25
221;"Ronaldo  Pedreira  Azevedo";"818407907";"12.728.369.7-54";157
222;"Guilherme  Bahiense  Campos";"650340551";"06.795.062.2-56";156
223;"Karla  Barros Kubitcheck";"711884184";"42.405.455.8-13";111
224;"Arthur  Fontes   Ribeiro";"681053068";"36.488.767.4-15";150
225;"Gabriel  Castro  Bahiense";"735961077";"07.212.391.5-59";185
226;"Maria Alice Almeida Rodrigues";"810364333";"55.467.053.1-88";193
227;"Ana  Campos  Brasil";"256965066";"43.921.009.6-88";26
228;"Vanessa  Queirós  Teixeira";"616679178";"96.302.101.6-80";103
229;"Bernardo  Fontes   Braga";"758511625";"18.443.985.0-47";82
230;"Alice Rodrigues Pinhais";"404134443";"32.650.439.0-45";23
231;"Viviane  Brasil Martins";"341175946";"22.676.914.7-78";200
232;"Luiza dos Santos  Correia";"873822249";"21.274.834.7-95";46
